               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.026277,            0.010792,          0.00060623,             0.94368,             0.90484,             0.94736,               0.602,            0.028393,           0.0058133,          0.00050694,            0.003994,            0.003994,            0.003994
                  93,            0.026182,            0.010737,          0.00061612,             0.94041,             0.90852,              0.9471,             0.60152,            0.028507,           0.0058177,          0.00051196,            0.003928,            0.003928,            0.003928
                  94,            0.025803,            0.010681,          0.00051955,              0.9369,             0.91279,             0.94624,             0.60119,            0.028464,           0.0058335,          0.00051793,            0.003862,            0.003862,            0.003862
                  95,            0.025774,            0.010709,          0.00068875,             0.93259,             0.90926,             0.94538,             0.60014,            0.028391,           0.0058297,            0.000587,            0.003796,            0.003796,            0.003796
                  96,              0.0257,            0.010757,          0.00062053,             0.93756,             0.90144,             0.94156,             0.59933,            0.028358,           0.0058438,          0.00060284,             0.00373,             0.00373,             0.00373
                  97,            0.025661,            0.010699,           0.0006087,             0.93036,             0.90675,             0.94118,             0.59961,            0.028395,           0.0058579,          0.00058516,            0.003664,            0.003664,            0.003664
                  98,            0.025644,            0.010768,          0.00056632,             0.93849,             0.90616,             0.94539,              0.5993,            0.028405,           0.0058691,          0.00058894,            0.003598,            0.003598,            0.003598
                  99,            0.025654,            0.010646,          0.00060598,             0.93317,             0.90681,              0.9434,             0.60055,            0.028394,           0.0058778,          0.00057389,            0.003532,            0.003532,            0.003532
                 100,            0.025392,            0.010632,          0.00049245,             0.93852,              0.8998,             0.94255,             0.59934,            0.028364,           0.0059023,          0.00057917,            0.003466,            0.003466,            0.003466
                 101,            0.025401,             0.01041,          0.00057117,             0.94282,             0.90238,             0.94464,             0.60126,            0.028296,           0.0058975,          0.00059002,              0.0034,              0.0034,              0.0034
                 102,            0.025272,            0.010489,           0.0005294,             0.94077,             0.89738,             0.94288,             0.60368,            0.028237,           0.0059033,          0.00059061,            0.003334,            0.003334,            0.003334
                 103,            0.025185,            0.010444,          0.00058317,             0.93741,             0.90793,             0.94521,             0.60177,            0.028178,           0.0059016,          0.00059245,            0.003268,            0.003268,            0.003268
                 104,            0.024905,            0.010568,          0.00056534,             0.93936,             0.90685,             0.94485,             0.60178,             0.02822,           0.0058879,          0.00058615,            0.003202,            0.003202,            0.003202
                 105,            0.024805,            0.010385,          0.00052685,             0.93599,             0.91178,              0.9461,             0.60293,            0.028193,           0.0058853,          0.00058261,            0.003136,            0.003136,            0.003136
                 106,             0.02459,            0.010367,          0.00050347,             0.93994,             0.91554,             0.94839,             0.60386,            0.028156,           0.0058749,          0.00057958,             0.00307,             0.00307,             0.00307
                 107,            0.024408,            0.010259,          0.00050542,              0.9385,             0.91088,             0.94679,              0.6039,            0.028152,           0.0058944,          0.00059603,            0.003004,            0.003004,            0.003004
                 108,            0.024394,            0.010362,          0.00043988,             0.93255,             0.91391,             0.94624,             0.60216,            0.028169,           0.0059039,           0.0005808,            0.002938,            0.002938,            0.002938
                 109,            0.024482,            0.010373,          0.00054531,             0.93638,             0.90711,             0.94581,             0.60266,              0.0282,           0.0059206,          0.00056519,            0.002872,            0.002872,            0.002872
                 110,            0.024749,            0.010099,          0.00057214,             0.93438,             0.91172,             0.94634,             0.60384,            0.028225,           0.0059182,          0.00056781,            0.002806,            0.002806,            0.002806
