               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.031802,            0.012726,           0.0012164,             0.91525,             0.88236,             0.92865,             0.54827,             0.02965,           0.0060921,          0.00085437,             0.00703,             0.00703,             0.00703
                  47,            0.031885,             0.01311,           0.0012198,             0.92963,             0.86896,              0.9352,             0.55721,            0.029104,           0.0060436,          0.00076817,            0.006964,            0.006964,            0.006964
                  48,            0.031568,            0.012937,           0.0012446,             0.91222,             0.89696,             0.93419,               0.563,            0.029067,           0.0060691,          0.00081505,            0.006898,            0.006898,            0.006898
                  49,            0.031488,            0.012708,           0.0011881,             0.90086,             0.87803,             0.92458,             0.55645,            0.029135,           0.0061366,           0.0011377,            0.006832,            0.006832,            0.006832
                  50,            0.031566,            0.012777,           0.0010946,             0.90419,             0.88269,             0.92849,             0.55634,            0.028812,           0.0060277,          0.00083807,            0.006766,            0.006766,            0.006766
                  51,            0.031131,             0.01266,           0.0012687,             0.90919,             0.88091,             0.93182,             0.55791,            0.028754,           0.0060728,          0.00086487,              0.0067,              0.0067,              0.0067
                  52,            0.031284,             0.01263,           0.0010906,             0.91934,             0.88506,             0.93323,              0.5653,            0.028893,           0.0060201,           0.0013142,            0.006634,            0.006634,            0.006634
                  53,            0.030873,            0.012668,           0.0012112,             0.91959,             0.89397,             0.93753,             0.56637,            0.029052,           0.0059635,           0.0011074,            0.006568,            0.006568,            0.006568
                  54,             0.03084,            0.012631,           0.0011078,             0.91977,             0.87731,             0.93771,             0.56613,            0.029067,           0.0060396,          0.00079517,            0.006502,            0.006502,            0.006502
                  55,            0.030798,            0.012521,           0.0010898,             0.91846,             0.88436,             0.93784,             0.56699,            0.029055,           0.0059932,          0.00081471,            0.006436,            0.006436,            0.006436
                  56,            0.030772,            0.012378,           0.0011488,             0.91928,             0.88677,             0.93528,             0.56414,            0.028775,           0.0060371,            0.001111,             0.00637,             0.00637,             0.00637
                  57,            0.030802,            0.012383,           0.0010758,               0.924,             0.88789,             0.93868,             0.56663,            0.028896,            0.005953,          0.00098234,            0.006304,            0.006304,            0.006304
                  58,            0.030266,            0.012257,           0.0010195,             0.91726,             0.89313,             0.93647,             0.56397,            0.028846,           0.0059641,          0.00075006,            0.006238,            0.006238,            0.006238
                  59,            0.030061,            0.012348,           0.0011187,             0.92739,             0.89741,              0.9385,             0.56767,            0.028932,           0.0059405,          0.00074933,            0.006172,            0.006172,            0.006172
                  60,            0.030425,            0.012251,           0.0010982,             0.91743,              0.8983,              0.9354,             0.56859,            0.028824,           0.0059497,          0.00067661,            0.006106,            0.006106,            0.006106
                  61,            0.029948,            0.012108,          0.00089191,             0.92706,             0.89257,             0.93674,             0.57224,            0.028621,           0.0059556,           0.0006874,             0.00604,             0.00604,             0.00604
                  62,            0.030195,             0.01217,           0.0010871,             0.92758,             0.89721,             0.93978,             0.57382,            0.028527,           0.0059537,          0.00068222,            0.005974,            0.005974,            0.005974
                  63,             0.02953,            0.012043,          0.00098348,             0.92406,             0.89254,             0.94158,             0.57274,            0.028498,           0.0059116,          0.00085088,            0.005908,            0.005908,            0.005908
                  64,            0.029579,             0.01211,          0.00093755,             0.93033,             0.89051,               0.939,             0.57223,            0.028459,           0.0058837,           0.0007034,            0.005842,            0.005842,            0.005842
                  65,            0.029525,            0.011875,          0.00086189,             0.92514,             0.90202,             0.94165,             0.57347,            0.028457,           0.0058692,          0.00076908,            0.005776,            0.005776,            0.005776
                  66,            0.029564,            0.012169,           0.0010077,             0.91805,              0.8944,             0.93852,             0.57914,            0.028413,           0.0059139,          0.00059828,             0.00571,             0.00571,             0.00571
                  67,            0.029348,            0.012081,          0.00098202,             0.93443,             0.89037,             0.94097,             0.58275,             0.02816,           0.0058387,          0.00057293,            0.005644,            0.005644,            0.005644
                  68,            0.029416,            0.011936,            0.001082,             0.93062,             0.89986,             0.93769,             0.58409,            0.028222,           0.0058819,          0.00059678,            0.005578,            0.005578,            0.005578
                  69,            0.029076,            0.011934,          0.00091921,             0.93373,              0.8986,             0.93928,             0.57586,            0.028507,           0.0058939,          0.00072761,            0.005512,            0.005512,            0.005512
                  70,            0.029188,            0.012068,            0.001111,             0.93341,               0.894,              0.9407,             0.58048,             0.02831,            0.005863,          0.00071127,            0.005446,            0.005446,            0.005446
                  71,            0.028785,            0.011867,          0.00086308,              0.9345,             0.89219,             0.93908,             0.57852,            0.028308,           0.0058657,          0.00068168,             0.00538,             0.00538,             0.00538
                  72,            0.028709,            0.011744,          0.00090225,             0.93074,             0.89319,               0.938,              0.5814,            0.028377,           0.0058637,          0.00068343,            0.005314,            0.005314,            0.005314
                  73,            0.028532,            0.011919,          0.00093754,             0.93402,             0.89708,             0.93994,              0.5813,            0.028335,           0.0058857,          0.00077991,            0.005248,            0.005248,            0.005248
                  74,            0.028812,            0.011798,          0.00077859,             0.93743,             0.89124,             0.94187,             0.58674,            0.027898,           0.0058496,          0.00062639,            0.005182,            0.005182,            0.005182
                  75,            0.028632,            0.011635,          0.00089261,             0.93984,             0.90184,             0.94756,             0.59147,            0.027996,           0.0058353,          0.00063991,            0.005116,            0.005116,            0.005116
                  76,            0.028531,            0.011919,          0.00086428,             0.92956,             0.90415,             0.94568,              0.5834,              0.0282,           0.0058579,          0.00073812,             0.00505,             0.00505,             0.00505
                  77,            0.028368,            0.011536,          0.00088115,              0.9298,             0.90514,             0.94186,             0.58569,            0.028139,           0.0058648,          0.00074303,            0.004984,            0.004984,            0.004984
                  78,            0.028156,            0.011494,          0.00088326,             0.92558,             0.90598,             0.94024,             0.58977,            0.027871,           0.0058576,          0.00074585,            0.004918,            0.004918,            0.004918
                  79,            0.028451,            0.011648,          0.00074779,             0.94298,             0.89478,               0.941,             0.58711,            0.027918,           0.0058393,          0.00068242,            0.004852,            0.004852,            0.004852
                  80,            0.028057,            0.011424,          0.00079984,             0.93173,             0.91206,              0.9456,             0.58844,            0.027834,           0.0058141,          0.00069003,            0.004786,            0.004786,            0.004786
                  81,             0.02754,            0.011324,          0.00067632,             0.93248,              0.9123,             0.94739,             0.59132,            0.027862,           0.0058334,          0.00068376,             0.00472,             0.00472,             0.00472
                  82,            0.027374,            0.011406,          0.00074123,             0.93625,               0.909,             0.94486,              0.5881,            0.027954,           0.0058503,          0.00064543,            0.004654,            0.004654,            0.004654
                  83,            0.027483,            0.011431,          0.00075498,             0.93389,             0.90956,             0.94623,             0.58958,            0.028022,           0.0058531,          0.00063934,            0.004588,            0.004588,            0.004588
                  84,            0.027474,            0.011352,          0.00080572,              0.9386,             0.90528,             0.94765,             0.59162,            0.028046,           0.0058502,          0.00076634,            0.004522,            0.004522,            0.004522
                  85,             0.02747,            0.011308,          0.00089776,              0.9349,             0.91187,             0.94652,              0.5933,             0.02793,           0.0058413,          0.00076452,            0.004456,            0.004456,            0.004456
                  86,             0.02707,            0.011222,          0.00076266,             0.92855,             0.91104,              0.9492,             0.59316,            0.027796,           0.0058098,          0.00084822,             0.00439,             0.00439,             0.00439
                  87,            0.027166,            0.011309,          0.00081621,             0.92964,             0.91798,             0.94742,             0.59553,            0.027742,           0.0058254,          0.00088189,            0.004324,            0.004324,            0.004324
                  88,            0.027025,            0.011296,          0.00077191,             0.94288,             0.90572,             0.95076,             0.59594,            0.027663,           0.0058137,          0.00093035,            0.004258,            0.004258,            0.004258
